name,country,latitude,longitude,population,sunrise,sunset,daylight_hours,day_length,status
Magadan,Russia (Siberia),59.5684,150.8048,95000,16:37:57,11:19:02,-5.315138911666666,-5:41:05,success
Krasnoyarsk,Russia (Siberia),56.0184,92.8672,1083000,21:02:02,14:38:32,-6.391548231944444,-6:36:30,success
Novosibirsk,Russia (Siberia),55.0084,82.9357,1612000,21:49:13,15:10:48,-6.640339963055555,-6:21:34,success
Omsk,Russia (Siberia),54.9885,73.3242,1154000,22:27:49,15:49:07,-6.645042460555556,-6:21:17,success
Irkutsk,Russia (Siberia),52.2978,104.2964,623000,20:41:15,13:27:52,-7.223307755277778,-7:46:36,success
Chita,Russia (Siberia),52.0307,113.5006,324000,20:05:59,12:49:29,-7.275196061388889,-7:43:29,success
Ulan-Ude,Russia (Siberia),51.8272,107.6063,432000,20:30:44,13:11:54,-7.314135491388889,-7:41:09,success
Nur-Sultan (Astana),Kazakhstan,51.1801,71.446,1136000,22:59:01,15:32:56,-7.4347496725,-7:33:54,success
Khabarovsk,Russia (Far East),48.4827,135.0839,618000,18:58:08,11:04:38,-7.891638106944445,-7:06:30,success
Ulaanbaatar,Mongolia,47.8864,106.9057,1372000,20:53:38,12:54:36,-7.9839249372222225,-7:00:57,success
Yuzhno-Sakhalinsk,Russia (Far East),46.9588,142.7386,181000,18:34:26,10:27:06,-8.122154911666666,-8:52:40,success
Harbin,China,45.8038,126.5349,5878000,19:44:10,11:27:01,-8.285797586666666,-8:42:51,success
Changchun,China,43.8171,125.3235,4413000,19:56:53,11:24:00,-8.548013275833334,-8:27:07,success
Almaty,Kazakhstan,43.222,76.8512,1916000,23:13:02,14:35:41,-8.62228791111111,-8:22:39,success
Vladivostok,Russia (Far East),43.1056,131.8735,606000,19:33:20,10:55:08,-8.636636504444445,-8:21:48,success
Sapporo,Japan,43.0642,141.3469,1973000,18:55:35,10:17:05,-8.641721070833334,-8:21:29,success
Bishkek,Kyrgyzstan,42.8746,74.5698,1012000,23:23:26,14:43:32,-8.664829006666666,-8:20:06,success
Shenyang,China,41.8057,123.4315,6921000,20:11:46,11:24:15,-8.792109920833333,-8:12:28,success
Tashkent,Uzbekistan,41.2995,69.2401,2506000,23:50:19,14:59:17,-8.850537835833332,-8:08:58,success
Beijing,China,39.9042,116.4074,19618000,20:46:17,11:45:55,-9.006083553055555,-9:59:38,success
Tianjin,China,39.3434,117.3616,13215000,20:44:17,11:40:18,-9.066429030555556,-9:56:00,success
Pyongyang,North Korea,39.0392,125.7625,3038000,20:11:38,11:05:43,-9.098677330277777,-9:54:04,success
Dalian,China,38.914,121.6147,3990000,20:28:38,11:21:55,-9.11184792638889,-9:53:17,success
Sendai,Japan,38.2682,140.8694,1096000,19:13:37,10:02:53,-9.178927766388888,-9:49:15,success
Seoul,South Korea,37.5665,126.978,9776000,20:11:19,10:56:19,-9.250181475555555,-9:44:59,success
Incheon,South Korea,37.4563,126.7052,2954000,20:12:45,10:57:04,-9.261225829444445,-9:44:19,success
Jinan,China,36.6512,117.1201,4335000,20:53:29,11:33:02,-9.340745615833335,-9:39:33,success
Daejeon,South Korea,36.3504,127.3845,1539000,20:13:17,10:51:06,-9.369952212222222,-9:37:48,success
Qingdao,China,36.0986,120.3719,4346000,20:42:04,11:18:25,-9.394186510555555,-9:36:20,success
Daegu,South Korea,35.8714,128.6014,2466000,20:09:48,10:44:51,-9.415901946666667,-9:35:02,success
Tokyo,Japan,35.6762,139.6503,37400068,19:26:09,10:00:05,-9.434443193611113,-9:33:56,success
Yokohama,Japan,35.4437,139.638,3748000,19:26:52,09:59:29,-9.45637942972222,-9:32:37,success
Nagoya,Japan,35.1815,136.9066,2296000,19:38:32,10:09:40,-9.480935961666667,-9:31:08,success
Busan,South Korea,35.1796,129.0756,3449000,20:09:52,10:41:00,-9.481108951944446,-9:31:08,success
Gwangju,South Korea,35.1595,126.8526,1469000,20:18:49,10:49:50,-9.482982518055556,-9:31:01,success
Kyoto,Japan,35.0116,135.7681,1475000,19:43:33,10:13:45,-9.496747990277777,-9:30:11,success
Zhengzhou,China,34.7466,113.6253,4253000,21:12:52,11:41:36,-9.521245736944444,-9:28:43,success
Osaka,Japan,34.6937,135.5023,19281000,19:45:30,10:13:56,-9.526126398333332,-9:28:25,success
Kobe,Japan,34.6901,135.1956,1518000,19:46:44,10:15:09,-9.526457383055556,-9:28:24,success
Hiroshima,Japan,34.3853,132.4553,1194000,19:58:32,10:25:16,-9.55437038,-9:26:44,success
Xi'an,China,34.3416,108.9398,8505000,21:32:44,11:59:14,-9.558342104722223,-9:26:29,success
Islamabad,Pakistan,33.7294,73.0931,1061000,23:57:48,14:20:59,-9.6136120975,-9:23:10,success
Fukuoka,Japan,33.5904,130.4017,1581000,20:08:54,10:31:20,-9.62605177638889,-9:22:26,success
Rawalpindi,Pakistan,33.5651,73.0169,2098000,23:58:33,14:20:51,-9.628288681388888,-9:22:18,success
Nanjing,China,32.0603,118.7969,8505000,20:59:20,11:13:45,-9.759746185,-9:14:24,success
Lahore,Pakistan,31.5204,74.3587,11126000,23:58:30,14:10:10,-9.805649735277779,-9:11:39,success
Shanghai,China,31.2304,121.4737,24256800,20:50:44,11:00:56,-9.830068538055556,-9:10:11,success
Wuhan,China,30.5928,114.3055,11081000,21:21:01,11:28:01,-9.883112228055555,-9:07:00,success
Chengdu,China,30.5728,104.0668,10704000,22:02:01,12:08:56,-9.884759473055555,-9:06:54,success
Hangzhou,China,30.2741,120.1551,7236000,20:58:24,11:03:50,-9.909322355277778,-9:05:26,success
Chongqing,China,29.4316,106.9123,14838000,21:53:25,11:54:46,-9.977653077222222,-9:01:20,success
Delhi,India,28.7041,77.1025,28514000,23:54:25,13:52:17,-10.0355933325,-10:57:51,success
Nanchang,China,28.682,115.8581,2357000,21:19:26,11:17:11,-10.037348198333333,-10:57:45,success
Changsha,China,28.2282,112.9388,4074000,21:32:10,11:27:48,-10.072999563333333,-10:55:37,success
Kathmandu,Nepal,27.7172,85.324,1442000,23:23:51,13:17:05,-10.112717414722223,-10:53:14,success
Thimphu,Bhutan,27.4728,89.639,115000,23:07:09,12:59:15,-10.131563948055554,-10:52:06,success
Lucknow,India,26.8467,80.9462,2902000,23:43:21,13:32:36,-10.179400517222222,-10:49:14,success
Kanpur,India,26.4499,80.3319,2767000,23:46:43,13:34:09,-10.209399341666668,-10:47:26,success
Fuzhou,China,26.0745,119.2965,2824000,21:11:41,10:57:25,-10.237568230833332,-10:45:44,success
Taipei,Taiwan,25.033,121.5654,2646000,21:04:55,10:46:02,-10.31461190361111,-10:41:07,success
Taichung,Taiwan,24.1477,120.6736,2817000,21:10:24,10:47:40,-10.378909295555555,-10:37:15,success
Dhaka,Bangladesh,23.8103,90.4125,19578000,23:12:12,12:48:01,-10.403132928611111,-10:35:48,success
Guangzhou,China,23.1291,113.2644,13858000,21:42:14,11:15:08,-10.451616508888888,-10:32:54,success
Khulna,Bangladesh,22.8456,89.5403,664000,23:17:44,12:49:27,-10.471617894166666,-10:31:42,success
Kaohsiung,Taiwan,22.6273,120.3014,2773000,21:15:08,10:45:55,-10.486963635833332,-10:30:46,success
Kolkata,India,22.5726,88.3639,14681000,23:23:01,12:53:35,-10.490791454444444,-10:30:33,success
Shenzhen,China,22.5431,114.0579,12356000,21:40:18,11:10:43,-10.492863218333333,-10:30:25,success
Chittagong,Bangladesh,22.3569,91.7832,2592000,23:09:48,12:39:27,-10.505878880000001,-10:29:38,success
Hong Kong,Hong Kong,22.3193,114.1694,7496000,21:40:19,11:09:48,-10.508507796111111,-10:29:29,success
Macau,Macau,22.1987,113.5439,650000,21:43:04,11:12:03,-10.516913846388888,-10:28:59,success
Hanoi,Vietnam,21.0285,105.8542,4377000,22:16:15,11:40:24,-10.597626214444444,-10:24:08,success
Naypyidaw,Myanmar,19.7633,96.1292,924000,22:57:44,12:16:44,-10.683247577222222,-10:19:00,success
Chiang Mai,Thailand,18.7883,98.9853,131000,22:48:15,12:03:22,-10.748152908888889,-10:15:06,success
Vientiane,Laos,17.9757,102.6331,240000,22:35:16,11:47:10,-10.80157868361111,-10:11:54,success
Yangon,Myanmar,16.8661,96.1951,5209000,23:03:11,12:10:46,-10.873611764722224,-10:07:34,success
Da Nang,Vietnam,16.0544,108.2022,1007000,22:16:42,11:21:10,-10.925679718611113,-10:04:27,success
Quezon City,Philippines,14.676,121.0437,2936000,21:27:57,10:27:10,-11.012976805000001,-11:59:13,success
Manila,Philippines,14.5995,120.9842,13482000,21:28:20,10:27:16,-11.017782536944445,-11:58:55,success
Bangkok,Thailand,13.7563,100.5018,10156000,22:51:51,11:47:38,-11.070493353055555,-11:55:46,success
Phnom Penh,Cambodia,11.5564,104.9282,1731000,22:38:13,11:25:51,-11.205989774444445,-11:47:38,success
Ho Chi Minh City,Vietnam,10.8231,106.6297,8993000,22:32:45,11:17:42,-11.250568412777778,-11:44:57,success
Cebu City,Philippines,10.3157,123.8854,922000,21:24:38,10:07:45,-11.281261453611112,-11:43:07,success
Davao,Philippines,7.0731,125.6128,1776000,21:23:32,09:55:02,-11.474819463333333,-11:31:30,success
George Town,Malaysia,5.4164,100.3327,708127,23:07:35,11:33:15,-11.572307111944445,-11:25:39,success
Bandar Seri Begawan,Brunei,4.9031,114.9398,100700,22:10:03,10:33:55,-11.602363022777778,-11:23:51,success
Medan,Indonesia,3.5952,98.6722,2210624,23:17:25,11:36:42,-11.678677475277778,-11:19:16,success
Kuala Lumpur,Malaysia,3.139,101.6869,1768000,23:06:09,11:23:51,-11.705219066388889,-11:17:41,success
Johor Bahru,Malaysia,1.4927,103.7414,497067,23:00:48,11:12:45,-11.800743875833334,-11:11:57,success
Singapore,Singapore,1.3521,103.8198,5850000,23:00:44,11:12:12,-11.808887119166666,-11:11:28,success
Jakarta,Indonesia,-6.2088,106.8456,10560000,23:01:46,10:46:57,-12.246849984166666,-12:45:11,success
Bandung,Indonesia,-6.9175,107.6191,2444000,22:59:55,10:42:37,-12.288225711666668,-12:42:42,success
Semarang,Indonesia,-6.9666,110.4167,1653524,22:48:48,10:31:21,-12.291096258055555,-12:42:32,success
Surabaya,Indonesia,-7.2575,112.7521,2874000,22:39:59,10:21:29,-12.308115491666667,-12:41:30,success
